"sound","word","condition","speaker","plsIntvl","plsIntvlNorm","points","pointsNorm","pointsOrig","file","intensityOrig","conditionNorm","conditionNorm2","wordType","conditionWord"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0514999999999972,-0.446273830155923,0.0365000000000038,"07__M35__M40_free_narr",75.9642,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0450999999999979,-0.39081455805888,0.042900000000003,"07__M35__M40_free_narr",76.1729,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0386999999999986,-0.335355285961836,0.0493000000000023,"07__M35__M40_free_narr",76.6899,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,-0.0322499999999977,-0.27946273830152,0.0557000000000016,"07__M35__M40_free_narr",77.313,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0257999999999967,-0.223570190641204,0.0622000000000043,"07__M35__M40_free_narr",77.8181,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,-0.0193499999999958,-0.167677642980887,0.0686000000000035,"07__M35__M40_free_narr",78.0761,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,-0.0128499999999931,-0.111351819757298,0.0751000000000062,"07__M35__M40_free_narr",78.021,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.00639999999999219,-0.0554592720969821,0.0816000000000088,"07__M35__M40_free_narr",77.6338,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00659999999999172,0.0571923743500109,0.00010000000000332,0.00086655112654517,0.0880000000000081,"07__M35__M40_free_narr",77.0291,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,0.00665000000000049,0.057625649913345,0.0945999999999998,"07__M35__M40_free_narr",76.3993,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,0.0131500000000031,0.113951473136934,0.101100000000002,"07__M35__M40_free_narr",75.9721,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,0.0196000000000041,0.16984402079725,0.107600000000005,"07__M35__M40_free_narr",75.6082,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,0.026050000000005,0.225736568457566,0.114000000000004,"07__M35__M40_free_narr",75.2732,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,0.032500000000006,0.281629116117883,0.120500000000007,"07__M35__M40_free_narr",75.1334,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,0.0389500000000069,0.337521663778199,0.126900000000006,"07__M35__M40_free_narr",75.2714,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.0064999999999884,0.0563258232234657,0.0454500000000024,0.393847487001726,0.133400000000009,"07__M35__M40_free_narr",75.6149,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00660000000000593,0.057192374350134,0.0519999999999996,0.450606585788526,0.139899999999997,"07__M35__M40_free_narr",75.8739,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00660000000000593,0.057192374350134,0.0586000000000055,0.50779896013866,0.146500000000003,"07__M35__M40_free_narr",75.886,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00659999999999172,0.0571923743500109,0.0652000000000044,0.564991334488733,0.153100000000009,"07__M35__M40_free_narr",75.6622,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00679999999999836,0.0589254766031012,0.0718999999999994,0.623050259965289,0.159700000000001,"07__M35__M40_free_narr",75.3069,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00679999999999836,0.0589254766031012,0.0786999999999978,0.68197573656839,0.166499999999999,"07__M35__M40_free_narr",74.9888,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.007000000000005,0.0606585788561916,0.0855999999999995,0.741767764298036,0.173299999999998,"07__M35__M40_free_narr",74.8935,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00679999999999836,0.0589254766031012,0.0925000000000011,0.801559792027683,0.180300000000003,"07__M35__M40_free_narr",74.9708,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00679999999999836,0.0589254766031012,0.0992999999999995,0.860485268630784,0.187100000000001,"07__M35__M40_free_narr",74.9802,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00690000000000168,0.0597920277296464,0.10615,0.919844020797158,0.193899999999999,"07__M35__M40_free_narr",74.7841,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"l","iw_^alo_","Free narrative","M35",0.00710000000000832,0.0615251299827367,0.113150000000005,0.980502599653349,0.200800000000001,"07__M35__M40_free_narr",74.1938,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"o","iw_^alo_","Free narrative","M35",0.00730000000000075,0.0632582322357039,0.120350000000009,1.04289428076257,0.207900000000009,"07__M35__M40_free_narr",73.3868,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"o","iw_^alo_","Free narrative","M35",0.0075999999999965,0.0658578856152163,0.127800000000008,1.10745233968803,0.21520000000001,"07__M35__M40_free_narr",73.364,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"o","iw_^alo_","Free narrative","M35",0.0075999999999965,0.0658578856152163,0.135400000000004,1.17331022530325,0.222800000000007,"07__M35__M40_free_narr",74.7486,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"o","iw_^alo_","Free narrative","M35",0.00750000000000739,0.0649913344887943,0.142950000000006,1.23873483535525,0.230400000000003,"07__M35__M40_free_narr",75.9931,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"o","iw_^alo_","Free narrative","M35",0.0075999999999965,0.0658578856152163,0.150500000000008,1.30415944540726,0.23790000000001,"07__M35__M40_free_narr",76.108,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00609999999998934,0.0771175726926622,-0.0499500000000026,-0.631479140328756,0.00400000000000489,"07__M35__M40_free_narr",77.4213,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00610000000000355,0.0771175726928418,-0.0438500000000062,-0.554361567636004,0.0100999999999942,"07__M35__M40_free_narr",78.6279,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00600000000000023,0.0758533501896393,-0.0378000000000043,-0.477876106194763,0.0161999999999978,"07__M35__M40_free_narr",79.1458,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00600000000000023,0.0758533501896393,-0.031800000000004,-0.402022756005124,0.022199999999998,"07__M35__M40_free_narr",79.1779,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00610000000000355,0.0771175726928418,-0.0257500000000022,-0.325537294563884,0.0281999999999982,"07__M35__M40_free_narr",78.9783,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00600000000000023,0.0758533501896393,-0.0197000000000003,-0.249051833122643,0.0343000000000018,"07__M35__M40_free_narr",78.7258,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
