fname token_code syllable_type
82_M75_free_narr 15 0
82_M75_free_narr 16 1
82_M75_free_narr 17 0
82_M75_free_narr 18 0
82_M75_free_narr 19 1
82_M75_free_narr 20 0
82_M75_free_narr 21 1
82_M75_free_narr 22 0
82_M75_free_narr 23 1
35_M35_free_narr 1 1
35_M35_free_narr 2 0
35_M35_free_narr 3 0
35_M35_free_narr 4 0
35_M35_free_narr 5 0
35_M35_free_narr 6 1
35_M35_free_narr 7 0
35_M35_free_narr 8 0
35_M35_free_narr 9 0
35_M35_free_narr 10 0
35_M35_free_narr 11 1
35_M35_free_narr 12 1
35_M35_free_narr 13 0
35_M35_free_narr 14 1
35_M35_free_narr 15 0
35_M35_free_narr 16 0
35_M35_free_narr 17 0
35_M35_free_narr 18 0
35_M35_free_narr 19 0
35_M35_free_narr 20 0
35_M35_free_narr 21 0
35_M35_free_narr 22 0
35_M35_free_narr 23 0
35_M35_free_narr 24 0
84_M75_free_narr 1 0
84_M75_free_narr 2 0
84_M75_free_narr 3 0
84_M75_free_narr 4 0
84_M75_free_narr 5 0
84_M75_free_narr 6 0
84_M75_free_narr 7 0
